gesture,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
0.0,"0.19795379042625427,0.48676159977912903,-1.880766262729594e-07","0.2318921834230423,0.4632079303264618,-0.008656937628984451","0.2553320527076721,0.4089106619358063,-0.011547771282494068","0.2596282362937927,0.35432329773902893,-0.014781402423977852","0.23987720906734467,0.33229148387908936,-0.015408871695399284","0.23200778663158417,0.3532893657684326,-0.001683275680989027","0.2403167337179184,0.3082941770553589,-0.015743015334010124","0.24146857857704163,0.3563820421695709,-0.020748695358633995","0.2357269674539566,0.375716894865036,-0.021904241293668747","0.21303892135620117,0.3548806309700012,-0.003300837939605117","0.22212569415569305,0.318187952041626,-0.019173312932252884","0.22500407695770264,0.37875592708587646,-0.02087538130581379","0.2182270884513855,0.3894001245498657,-0.01815485768020153","0.19444072246551514,0.3622764050960541,-0.007261947263032198","0.2052922248840332,0.3335382044315338,-0.025477780029177666","0.20933648943901062,0.3896995186805725,-0.019363755360245705","0.20198360085487366,0.3994421362876892,-0.010595920495688915","0.1738666296005249,0.37350136041641235,-0.011597264558076859","0.18896155059337616,0.3497298061847687,-0.021820150315761566","0.19349314272403717,0.3873646855354309,-0.014958475716412067","0.18599052727222443,0.3985704481601715,-0.0072508882731199265"
0.0,"0.2038644403219223,0.48439764976501465,-1.6771846844676475e-07","0.23765063285827637,0.4605022668838501,-0.008794078603386879","0.259502649307251,0.4065547287464142,-0.011730414815247059","0.2626534700393677,0.352414071559906,-0.015149485319852829","0.2421778291463852,0.3304780423641205,-0.016244925558567047","0.23310789465904236,0.35110312700271606,-0.002013607881963253","0.24158285558223724,0.3078382611274719,-0.015551013872027397","0.24487590789794922,0.3526306748390198,-0.02047448419034481","0.23980824649333954,0.37401923537254333,-0.021565990522503853","0.21497346460819244,0.3539182245731354,-0.0035120949614793062","0.22689726948738098,0.3183802366256714,-0.019584909081459045","0.23122546076774597,0.3768845796585083,-0.02238236553966999","0.22353969514369965,0.3923778831958771,-0.02028718590736389","0.1969868242740631,0.3618263602256775,-0.007247846107929945","0.21119087934494019,0.3315986394882202,-0.025974538177251816","0.2165854424238205,0.38703200221061707,-0.021429209038615227","0.208621084690094,0.4014317989349365,-0.013425692915916443","0.1767803132534027,0.3740726411342621,-0.011290165595710278","0.1960688829421997,0.348685622215271,-0.022718477994203568","0.2019386887550354,0.38525426387786865,-0.017258161678910255","0.19447776675224304,0.3991788327693939,-0.010300496593117714"
0.0,"0.2092863917350769,0.4823172986507416,-1.4396930225757387e-07","0.24118196964263916,0.4527041018009186,-0.007161085493862629","0.260478138923645,0.39792659878730774,-0.01021314226090908","0.26315566897392273,0.3466343283653259,-0.014009598642587662","0.2425978183746338,0.3278946876525879,-0.01569114439189434","0.2305728793144226,0.3442695736885071,-0.0010009476682171226","0.24124789237976074,0.3076132833957672,-0.013641845434904099","0.24596555531024933,0.3520367741584778,-0.018920332193374634","0.24025264382362366,0.37190917134284973,-0.020694246515631676","0.21350529789924622,0.3476867973804474,-0.003433080157265067","0.2286830097436905,0.31625300645828247,-0.017950020730495453","0.23457393050193787,0.3717121481895447,-0.020730052143335342","0.2264745831489563,0.3884921669960022,-0.019198184832930565","0.19666267931461334,0.35628610849380493,-0.007919862866401672","0.2159457951784134,0.33217403292655945,-0.02553236484527588","0.22146417200565338,0.38648441433906555,-0.021724004298448563","0.21254539489746094,0.4015597701072693,-0.014609670266509056","0.1790614277124405,0.3700835704803467,-0.012577475979924202","0.2029089629650116,0.348495215177536,-0.023287616670131683","0.20829203724861145,0.3855673670768738,-0.01806519366800785","0.19954849779605865,0.400384783744812,-0.011547904461622238"
0.0,"0.21503938734531403,0.4801144599914551,-1.4760846056560695e-07","0.24206717312335968,0.4479968249797821,-0.006406065542250872","0.2599394917488098,0.3984490931034088,-0.011116468347609043","0.2644362449645996,0.35133758187294006,-0.017056653276085854","0.2472379058599472,0.3298032283782959,-0.02071756310760975","0.22302520275115967,0.33242321014404297,-0.00014882847608532757","0.24108648300170898,0.30681112408638,-0.015118568204343319","0.2452491819858551,0.35324200987815857,-0.022334259003400803","0.237466961145401,0.37080466747283936,-0.02521018125116825","0.20704808831214905,0.33629700541496277,-0.003967290744185448","0.2321344017982483,0.31332388520240784,-0.020096367225050926","0.23653382062911987,0.3691202700138092,-0.023525657132267952","0.22580957412719727,0.383383572101593,-0.022233739495277405","0.1932295709848404,0.3471319377422333,-0.009958911687135696","0.22110719978809357,0.3311325013637543,-0.02771409973502159","0.22584228217601776,0.38329240679740906,-0.02392289973795414","0.21476693451404572,0.3960263431072235,-0.016890402883291245","0.18060778081417084,0.36474454402923584,-0.01626070775091648","0.21012286841869354,0.3481026887893677,-0.02610509656369686","0.21488100290298462,0.38353434205055237,-0.0205693319439888","0.20428349077701569,0.3979184627532959,-0.01384100504219532"
0.0,"0.21528981626033783,0.4798213839530945,-1.6575167194332607e-07","0.24305272102355957,0.44215190410614014,-0.004878568463027477","0.2598331868648529,0.3940243721008301,-0.009380967356264591","0.26545101404190063,0.347878098487854,-0.015517874620854855","0.24897107481956482,0.3311576247215271,-0.019251912832260132","0.21775028109550476,0.3297065794467926,0.004138650838285685","0.24010777473449707,0.3078312277793884,-0.011066448874771595","0.24478408694267273,0.3536671996116638,-0.01935061253607273","0.23593583703041077,0.3700421154499054,-0.023272104561328888","0.20316927134990692,0.3341107964515686,-0.0006140880286693573","0.2323721945285797,0.3111705780029297,-0.017281368374824524","0.2373780906200409,0.36514636874198914,-0.02128942310810089","0.22665917873382568,0.37922990322113037,-0.020038865506649017","0.1915811449289322,0.34530654549598694,-0.007756662555038929","0.2233501523733139,0.33247920870780945,-0.025403235107660294","0.22807903587818146,0.38174018263816833,-0.022551754489541054","0.21672120690345764,0.39320242404937744,-0.016006501391530037","0.18268510699272156,0.36267367005348206,-0.015280736610293388","0.2137925624847412,0.3498082160949707,-0.02490566484630108","0.21786166727542877,0.3834160566329956,-0.020722467452287674","0.2070288360118866,0.3967702090740204,-0.014955653809010983"
0.0,"0.21582652628421783,0.4770461618900299,-1.4620682975419186e-07","0.24354825913906097,0.43334728479385376,-0.0026534125208854675","0.25796186923980713,0.3887784779071808,-0.007120893336832523","0.2636513411998749,0.3471985459327698,-0.013858295977115631","0.24925662577152252,0.33067595958709717,-0.01832650974392891","0.20976640284061432,0.3269767761230469,0.006704594008624554","0.23593027889728546,0.3060733675956726,-0.009078709408640862","0.2423032820224762,0.3493514955043793,-0.018685536459088326","0.23426035046577454,0.36889612674713135,-0.023393936455249786","0.19742166996002197,0.330756276845932,0.0006536603905260563","0.23169828951358795,0.30821549892425537,-0.0164325013756752","0.23781126737594604,0.3616209626197815,-0.021186772733926773","0.227035790681839,0.37915530800819397,-0.020302053540945053","0.18869179487228394,0.3415778875350952,-0.007696846034377813","0.22484570741653442,0.32889318466186523,-0.025274474173784256","0.22957926988601685,0.3787495195865631,-0.02267235703766346","0.2175380140542984,0.39340102672576904,-0.01612812653183937","0.18295033276081085,0.3593815565109253,-0.016359843313694","0.21554824709892273,0.3490007519721985,-0.02577790804207325","0.21910174190998077,0.3815515637397766,-0.021749775856733322","0.20769280195236206,0.39503446221351624,-0.016036031767725945"
0.0,"0.21548423171043396,0.4758984446525574,-1.5579165335566358e-07","0.24142684042453766,0.43716251850128174,-0.0035039798822253942","0.25572308897972107,0.39307647943496704,-0.008289624005556107","0.26171720027923584,0.35174989700317383,-0.01490265317261219","0.24879556894302368,0.3332647383213043,-0.019198140129446983","0.2072509080171585,0.3295665383338928,0.006843465846031904","0.23639433085918427,0.3110848069190979,-0.00888141430914402","0.24172918498516083,0.352303683757782,-0.01943419873714447","0.2334497720003128,0.3715400993824005,-0.02533649280667305","0.1947954148054123,0.33102819323539734,0.0009669302962720394","0.2310495674610138,0.3107129633426666,-0.015741897746920586","0.23666250705718994,0.36033737659454346,-0.02140791155397892","0.2269657850265503,0.3766512870788574,-0.021736769005656242","0.1871572732925415,0.3409240245819092,-0.007309360429644585","0.22629161179065704,0.33043110370635986,-0.024305328726768494","0.23026077449321747,0.37710702419281006,-0.02287888340651989","0.21835732460021973,0.389700710773468,-0.017801977694034576","0.1837863028049469,0.35747674107551575,-0.016046414151787758","0.21885697543621063,0.35096707940101624,-0.02540605328977108","0.22133417427539825,0.3833492398262024,-0.022562038153409958","0.20969396829605103,0.3952483534812927,-0.0181572362780571"
0.0,"0.21415773034095764,0.47667720913887024,-1.5747086479223071e-07","0.24073077738285065,0.4398241639137268,-0.0040616742335259914","0.25626710057258606,0.3958548605442047,-0.009120774455368519","0.2627995014190674,0.3541770577430725,-0.01572093926370144","0.24966472387313843,0.3356453478336334,-0.019926879554986954","0.20620888471603394,0.3335476219654083,0.005672698840498924","0.23789572715759277,0.31478428840637207,-0.009566940367221832","0.242563396692276,0.35557758808135986,-0.02004857361316681","0.23387010395526886,0.3743461072444916,-0.026248371228575706","0.1944223940372467,0.3338170051574707,0.00032548056333325803","0.2329101711511612,0.3140210509300232,-0.015756454318761826","0.23787565529346466,0.3617258667945862,-0.021046606823801994","0.22869999706745148,0.37786775827407837,-0.02158902958035469","0.1878855675458908,0.3421056568622589,-0.0073768338188529015","0.22873279452323914,0.32989463210105896,-0.023355742916464806","0.23170368373394012,0.37583181262016296,-0.02169583924114704","0.220039501786232,0.38994327187538147,-0.01703277789056301","0.185840904712677,0.35679301619529724,-0.01573915034532547","0.22254802286624908,0.35215553641319275,-0.02497672848403454","0.22381353378295898,0.3842245042324066,-0.02302045002579689","0.21192629635334015,0.39651674032211304,-0.019528919830918312"
0.0,"0.2041398584842682,0.47268280386924744,-1.7724701706356427e-07","0.23232652246952057,0.4450642466545105,-0.0103471539914608","0.25299280881881714,0.4001197814941406,-0.017762579023838043","0.25981247425079346,0.35471847653388977,-0.025325413793325424","0.24432605504989624,0.3320918679237366,-0.03000112995505333","0.21674638986587524,0.32717394828796387,-0.0010284195886924863","0.2409808188676834,0.3159503936767578,-0.01922798715531826","0.2420327216386795,0.35955289006233215,-0.029472457244992256","0.2327384054660797,0.37794187664985657,-0.034372489899396896","0.20139643549919128,0.3257790207862854,-0.003406740492209792","0.23106206953525543,0.3171260952949524,-0.020881490781903267","0.23316296935081482,0.36900389194488525,-0.024686673656105995","0.22282645106315613,0.37929728627204895,-0.02371952310204506","0.18870359659194946,0.33407679200172424,-0.008997747674584389","0.2223084717988968,0.33459752798080444,-0.026845376938581467","0.22356417775154114,0.381771057844162,-0.024213846772909164","0.21181979775428772,0.390487939119339,-0.018434425815939903","0.17831620573997498,0.3507232367992401,-0.015683772042393684","0.21128331124782562,0.3532167375087738,-0.025768956169486046","0.2121008336544037,0.38506650924682617,-0.02360939420759678","0.20081377029418945,0.3939448595046997,-0.019502148032188416"
0.0,"0.19544722139835358,0.4663362205028534,-1.46253526622786e-07","0.22304962575435638,0.4416579008102417,-0.008236031047999859","0.24478377401828766,0.39096471667289734,-0.01277310959994793","0.24629352986812592,0.34520280361175537,-0.01723954640328884","0.22756385803222656,0.3274269998073578,-0.019258925691246986","0.21397382020950317,0.32331451773643494,-0.0009835624368861318","0.2325490266084671,0.30724021792411804,-0.014429470524191856","0.23406726121902466,0.35144492983818054,-0.02092047594487667","0.22617660462856293,0.3638524115085602,-0.024091636762022972","0.19661879539489746,0.32424861192703247,-0.0033516993280500174","0.21858449280261993,0.3115290403366089,-0.01673728972673416","0.22175469994544983,0.3629131615161896,-0.01867561973631382","0.21272040903568268,0.36933791637420654,-0.01739884354174137","0.18170344829559326,0.33538758754730225,-0.008039046078920364","0.20599041879177094,0.32936686277389526,-0.023642968386411667","0.20977142453193665,0.3773597478866577,-0.019480576738715172","0.19982407987117767,0.38338029384613037,-0.013452396728098392","0.16844351589679718,0.3537863492965698,-0.013292252086102962","0.19424057006835938,0.34814438223838806,-0.022785639390349388","0.19794796407222748,0.3821204602718353,-0.01838862895965576","0.1884039342403412,0.39100006222724915,-0.012959273532032967"
0.0,"0.1853601038455963,0.4647211730480194,-1.4239738277410652e-07","0.2109794020652771,0.4432571232318878,-0.011241122148931026","0.2343796044588089,0.3943052291870117,-0.017207792028784752","0.2350795418024063,0.34579670429229736,-0.022267065942287445","0.21617916226387024,0.32341066002845764,-0.02473507449030876","0.20640183985233307,0.32593607902526855,-0.006777381524443626","0.223897784948349,0.3092063069343567,-0.020173892378807068","0.22465351223945618,0.3543047606945038,-0.025267286226153374","0.21612095832824707,0.36333826184272766,-0.02777823619544506","0.18733935058116913,0.3262002170085907,-0.00800387468189001","0.20675911009311676,0.30967915058135986,-0.022182419896125793","0.21063880622386932,0.3630731403827667,-0.023475853726267815","0.20208001136779785,0.3688822090625763,-0.021850034594535828","0.17065387964248657,0.3371810019016266,-0.011404188349843025","0.1915063112974167,0.3265087604522705,-0.02821338176727295","0.1966453194618225,0.3773098289966583,-0.023240050300955772","0.18667927384376526,0.38392457365989685,-0.016676809638738632","0.1552036702632904,0.3551812469959259,-0.015434062108397484","0.17827662825584412,0.34770721197128296,-0.026123788207769394","0.18369752168655396,0.38255050778388977,-0.021615665405988693","0.17463839054107666,0.3905230462551117,-0.016108950600028038"
0.0,"0.18070387840270996,0.45791810750961304,-1.1272481259538836e-07","0.2051553577184677,0.4407517611980438,-0.012150464579463005","0.22930555045604706,0.39038002490997314,-0.018133794888854027","0.2257697880268097,0.34069281816482544,-0.022840624675154686","0.20359542965888977,0.3218129575252533,-0.02537008561193943","0.19890189170837402,0.32047292590141296,-0.007884545251727104","0.20986367762088776,0.3013516962528229,-0.020631924271583557","0.21385544538497925,0.3447514772415161,-0.02542170137166977","0.20896093547344208,0.3581882417201996,-0.02724383771419525","0.17908649146556854,0.32282403111457825,-0.007858903147280216","0.19266176223754883,0.30564314126968384,-0.020432433113455772","0.1997573971748352,0.35914346575737,-0.021446192637085915","0.1928938627243042,0.3670586943626404,-0.019627127796411514","0.16167473793029785,0.33629170060157776,-0.00984256248921156","0.17649123072624207,0.32453739643096924,-0.025795897468924522","0.18532240390777588,0.37448549270629883,-0.02061355672776699","0.1776248812675476,0.38383716344833374,-0.013841505162417889","0.1440202295780182,0.35729438066482544,-0.01236184872686863","0.16221006214618683,0.3464953601360321,-0.022586924955248833","0.17126116156578064,0.38041383028030396,-0.017274152487516403","0.16516812145709991,0.3901313245296478,-0.011017714627087116"
0.0,"0.17128624022006989,0.4628659188747406,-1.101032935935109e-07","0.19449901580810547,0.44440627098083496,-0.014194370247423649","0.21577709913253784,0.3887856602668762,-0.020553939044475555","0.21201792359352112,0.33845993876457214,-0.025236228480935097","0.18848708271980286,0.3267660140991211,-0.02755913883447647","0.18228575587272644,0.3226107656955719,-0.008767490275204182","0.19131731986999512,0.3065451383590698,-0.022559000179171562","0.19846698641777039,0.34694206714630127,-0.028124213218688965","0.1955646127462387,0.35982900857925415,-0.030330104753375053","0.1635814905166626,0.3276452422142029,-0.008398111909627914","0.17419269680976868,0.31322231888771057,-0.021473340690135956","0.1841607689857483,0.3651920258998871,-0.02236241102218628","0.17884387075901031,0.37282103300094604,-0.020518014207482338","0.14795289933681488,0.3450034260749817,-0.010533139109611511","0.15898869931697845,0.3330489993095398,-0.026894081383943558","0.17009159922599792,0.3801233470439911,-0.02143794670701027","0.16388270258903503,0.3890150487422943,-0.014765739440917969","0.13183000683784485,0.37086835503578186,-0.013545542024075985","0.14645671844482422,0.3622179329395294,-0.02441767044365406","0.15664954483509064,0.3930513858795166,-0.019538449123501778","0.15264511108398438,0.40057799220085144,-0.013802001252770424"
