gesture,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
0.0,"0.36663633584976196,0.404133677482605,-8.937014683851885e-08","0.38014456629753113,0.3896234631538391,-0.007825114764273167","0.3920803368091583,0.3615920841693878,-0.01251168828457594","0.39027199149131775,0.33645355701446533,-0.016626788303256035","0.3788904547691345,0.3281177580356598,-0.01898830384016037","0.37860578298568726,0.3225950598716736,-0.004514132160693407","0.386383980512619,0.3138972222805023,-0.012602071277797222","0.38693055510520935,0.33928483724594116,-0.016184112057089806","0.3826351463794708,0.34340354800224304,-0.01815573126077652","0.3675861954689026,0.32279133796691895,-0.004670832306146622","0.37595781683921814,0.32043322920799255,-0.012200615368783474","0.3782525360584259,0.3492806553840637,-0.012905004434287548","0.37414801120758057,0.3464357256889343,-0.012215354479849339","0.3583528399467468,0.3305254280567169,-0.006285717245191336","0.3671124279499054,0.3326452970504761,-0.014583338983356953","0.3703226149082184,0.35718032717704773,-0.011952064000070095","0.3655654788017273,0.3552722632884979,-0.008878630585968494","0.35023635625839233,0.3415968120098114,-0.008586927317082882","0.35976070165634155,0.3457757532596588,-0.013879022561013699","0.36282652616500854,0.3619479835033417,-0.011788787320256233","0.3581458628177643,0.36208072304725647,-0.009204895235598087"
0.0,"0.3751709461212158,0.40238961577415466,-9.944965739805411e-08","0.388771653175354,0.38757219910621643,-0.007148839998990297","0.3998817801475525,0.3603784441947937,-0.011890526860952377","0.3988092839717865,0.3350922167301178,-0.0162193663418293","0.38771703839302063,0.32567858695983887,-0.018878063187003136","0.3870496153831482,0.32155975699424744,-0.005190823692828417","0.3959249258041382,0.3135950267314911,-0.013645084574818611","0.39604130387306213,0.33878543972969055,-0.0171820018440485","0.391061007976532,0.3433154821395874,-0.01902485452592373","0.3759332597255707,0.3215373754501343,-0.005791862029582262","0.38544178009033203,0.3204996883869171,-0.013632589019834995","0.3872382640838623,0.3489624261856079,-0.014326494187116623","0.3825489580631256,0.3467414677143097,-0.013685377314686775","0.36660313606262207,0.32939445972442627,-0.007723250892013311","0.37670162320137024,0.3310837149620056,-0.01635129190981388","0.3796224296092987,0.3560333251953125,-0.013751445338129997","0.37456828355789185,0.35536062717437744,-0.010667731985449791","0.3586016893386841,0.34085214138031006,-0.010240995325148106","0.3693155348300934,0.34441298246383667,-0.015935245901346207","0.3720560371875763,0.36025139689445496,-0.014083781279623508","0.36714285612106323,0.36057373881340027,-0.011625934392213821"
0.0,"0.3841656744480133,0.4035666882991791,-9.355778729513986e-08","0.39834973216056824,0.3882518708705902,-0.006750195287168026","0.4099527597427368,0.3611987829208374,-0.011058727279305458","0.40992724895477295,0.33624935150146484,-0.015002300031483173","0.3989996314048767,0.3276800811290741,-0.017333457246422768","0.3943888545036316,0.32155463099479675,-0.004212660249322653","0.404693067073822,0.3145610988140106,-0.012657364830374718","0.40519601106643677,0.3396645784378052,-0.016767678782343864","0.4004839062690735,0.3429872393608093,-0.019111204892396927","0.3838127851486206,0.3215894103050232,-0.004978463053703308","0.3952416479587555,0.3209553360939026,-0.013207551091909409","0.39730340242385864,0.3490931987762451,-0.014687592163681984","0.39254963397979736,0.3475906550884247,-0.01446641143411398","0.37507063150405884,0.3292127549648285,-0.007043995428830385","0.3870384097099304,0.33255335688591003,-0.015727568417787552","0.3896482288837433,0.35714292526245117,-0.013738887384533882","0.3842526972293854,0.3563401699066162,-0.010962099768221378","0.367931604385376,0.34051620960235596,-0.009694291278719902","0.37993448972702026,0.34555527567863464,-0.015155254863202572","0.3821928799152374,0.3618451952934265,-0.013503506779670715","0.3769655227661133,0.36258572340011597,-0.01120531465858221"
0.0,"0.3954586088657379,0.4124870002269745,-1.0550620288540813e-07","0.40905478596687317,0.39698222279548645,-0.006468384992331266","0.42024102807044983,0.36939963698387146,-0.010882795788347721","0.4205910563468933,0.34398943185806274,-0.015134737826883793","0.41018813848495483,0.3350411355495453,-0.017858577892184258","0.40349507331848145,0.3268202245235443,-0.003452013013884425","0.4150058925151825,0.3216138780117035,-0.012192090041935444","0.4160292446613312,0.3466022312641144,-0.016659457236528397","0.4109843969345093,0.3512937128543854,-0.019087456166744232","0.39320504665374756,0.3277915418148041,-0.0044992100447416306","0.40614110231399536,0.3293822407722473,-0.01258915290236473","0.40862664580345154,0.35781529545783997,-0.014150697737932205","0.4031992554664612,0.35718467831611633,-0.013988086953759193","0.3848468065261841,0.33647722005844116,-0.006920879706740379","0.39824581146240234,0.34107428789138794,-0.015734590590000153","0.4013877511024475,0.3659500777721405,-0.01378430426120758","0.39564111828804016,0.3661496043205261,-0.010964670218527317","0.37799081206321716,0.3491921126842499,-0.009898954071104527","0.3912256062030792,0.35327574610710144,-0.015361262485384941","0.3939783275127411,0.3698415160179138,-0.013433142565190792","0.38862255215644836,0.37180280685424805,-0.010864313691854477"
0.0,"0.40294113755226135,0.4271070063114166,-1.273537009183201e-07","0.417250394821167,0.4106198847293854,-0.00626912759616971","0.42890310287475586,0.3839830756187439,-0.010642687790095806","0.4305409789085388,0.35861822962760925,-0.01481231115758419","0.4202212989330292,0.3486093580722809,-0.017374809831380844","0.4110691547393799,0.34075990319252014,-0.0038218393456190825","0.4244057536125183,0.33509576320648193,-0.013248702511191368","0.42433419823646545,0.3614831566810608,-0.018364176154136658","0.41829991340637207,0.36553218960762024,-0.021285057067871094","0.40128132700920105,0.3415127992630005,-0.0050986516289412975","0.4161202311515808,0.3426758646965027,-0.014217088930308819","0.417500764131546,0.3720240294933319,-0.016385836526751518","0.4118306636810303,0.3726500868797302,-0.01655416004359722","0.3935440480709076,0.3502267599105835,-0.007704970892518759","0.408761203289032,0.35518237948417664,-0.016459589824080467","0.4105886220932007,0.3803783059120178,-0.014639378525316715","0.4045587480068207,0.38081011176109314,-0.01201049704104662","0.3876444697380066,0.36267614364624023,-0.01093027088791132","0.4018401503562927,0.36817115545272827,-0.015811987221240997","0.40308529138565063,0.3848015367984772,-0.014033617451786995","0.39736324548721313,0.3869307041168213,-0.01175018958747387"
0.0,"0.4095710515975952,0.44318926334381104,-1.1933519772355794e-07","0.4246930778026581,0.4259931445121765,-0.004844629671424627","0.43583300709724426,0.3981178402900696,-0.008793970569968224","0.43750283122062683,0.3734491467475891,-0.012891576625406742","0.42715418338775635,0.3674018979072571,-0.015469364821910858","0.41715654730796814,0.35622406005859375,-0.0028953857254236937","0.4310138523578644,0.3492448925971985,-0.012186824344098568","0.43150749802589417,0.37466463446617126,-0.01748798042535782","0.4261234402656555,0.38068997859954834,-0.0206319410353899","0.4074384868144989,0.3571546673774719,-0.005045183934271336","0.42317330837249756,0.35838645696640015,-0.01396244764328003","0.42481735348701477,0.38629820942878723,-0.016324855387210846","0.41961929202079773,0.3879995048046112,-0.016767628490924835","0.4000391960144043,0.3659593164920807,-0.008420638740062714","0.4162857234477997,0.37279102206230164,-0.016641836613416672","0.4175680875778198,0.3966716229915619,-0.015101654455065727","0.41144391894340515,0.3971642851829529,-0.012902730144560337","0.39487820863723755,0.378638356924057,-0.012405222281813622","0.40993791818618774,0.38676390051841736,-0.017139028757810593","0.41087380051612854,0.4023892879486084,-0.015758758410811424","0.405014306306839,0.40358611941337585,-0.013925100676715374"
0.0,"0.41492071747779846,0.4604777991771698,-1.1464195637245211e-07","0.42950335144996643,0.4422439932823181,-0.005868558306246996","0.4397522807121277,0.41381144523620605,-0.010272099636495113","0.4411420524120331,0.3902561366558075,-0.014604415744543076","0.43205201625823975,0.3843228816986084,-0.017263885587453842","0.42043372988700867,0.3709598779678345,-0.0039383964613080025","0.43448153138160706,0.3646194636821747,-0.013260346837341785","0.43574684858322144,0.38966047763824463,-0.018259169533848763","0.4304271936416626,0.3957567811012268,-0.021208683028817177","0.4108884930610657,0.3725622892379761,-0.005642774514853954","0.4268701672554016,0.3745887875556946,-0.014514937065541744","0.4290243089199066,0.4022619426250458,-0.016507545486092567","0.4238118827342987,0.4030712842941284,-0.01670057140290737","0.40370461344718933,0.38214269280433655,-0.008675592020154","0.41976720094680786,0.3905113637447357,-0.017098309472203255","0.42183494567871094,0.4134807884693146,-0.015626544132828712","0.41615772247314453,0.4130944609642029,-0.013465696945786476","0.39914706349372864,0.3954368829727173,-0.012408571317791939","0.4139658808708191,0.40524181723594666,-0.017435738816857338","0.4151372015476227,0.4202328622341156,-0.016370739787817","0.4093747138977051,0.4204971194267273,-0.014741401188075542"
0.0,"0.41569170355796814,0.468567818403244,-9.871588702026202e-08","0.431334912776947,0.4487101435661316,-0.0054897647351026535","0.4413745701313019,0.42289280891418457,-0.009962000884115696","0.44409796595573425,0.4002494215965271,-0.014616051688790321","0.4352177679538727,0.39535269141197205,-0.017815001308918","0.41962456703186035,0.3792860805988312,-0.003116077743470669","0.43580225110054016,0.3733057975769043,-0.012372325174510479","0.4377526342868805,0.3975179195404053,-0.0178127009421587","0.43246111273765564,0.40453091263771057,-0.020970584824681282","0.4104583263397217,0.38246044516563416,-0.005041014403104782","0.42858120799064636,0.38500675559043884,-0.013657703064382076","0.43096885085105896,0.41113895177841187,-0.01598990522325039","0.4255499541759491,0.4136698246002197,-0.01646893285214901","0.4040686786174774,0.39335399866104126,-0.00828552059829235","0.4219214916229248,0.4004823863506317,-0.01628432236611843","0.4240722954273224,0.42245763540267944,-0.014901924878358841","0.4185466766357422,0.4235894978046417,-0.0127691850066185","0.40020498633384705,0.40803927183151245,-0.012227130122482777","0.4158855080604553,0.41432905197143555,-0.0167143065482378","0.4170551896095276,0.4285549521446228,-0.015322737395763397","0.4116659164428711,0.43044519424438477,-0.01344730332493782"
0.0,"0.41823187470436096,0.48608654737472534,-1.0801298344631505e-07","0.4337533414363861,0.4658551514148712,-0.005336906295269728","0.4444552958011627,0.43966564536094666,-0.009791916236281395","0.4462433159351349,0.4177713096141815,-0.014323861338198185","0.4378381371498108,0.4143781363964081,-0.01733982004225254","0.42241010069847107,0.39449262619018555,-0.0034816896077245474","0.4386785626411438,0.3900778293609619,-0.012253882363438606","0.4401674270629883,0.4132630228996277,-0.01730968803167343","0.43511807918548584,0.4193323254585266,-0.020502550527453423","0.41334009170532227,0.3981808125972748,-0.00564050767570734","0.4317748546600342,0.40275394916534424,-0.014126405119895935","0.4338611364364624,0.42802315950393677,-0.016573982313275337","0.42877063155174255,0.42954593896865845,-0.01733955554664135","0.40688881278038025,0.40981757640838623,-0.008982392959296703","0.4248817265033722,0.41920435428619385,-0.01679430902004242","0.42659351229667664,0.4404599368572235,-0.01576387509703636","0.42064571380615234,0.4408637285232544,-0.01415876392275095","0.4030401408672333,0.42542561888694763,-0.013034595176577568","0.4189348816871643,0.4340541362762451,-0.017700187861919403","0.4199783205986023,0.4482634365558624,-0.01678372733294964","0.41418710350990295,0.4495314359664917,-0.015396610833704472"
0.0,"0.4174477159976959,0.4955328702926636,-9.697754421722493e-08","0.43369337916374207,0.4741131663322449,-0.004644989967346191","0.44369226694107056,0.4488632082939148,-0.008986763656139374","0.4461117088794708,0.4273577630519867,-0.01361983921378851","0.437652587890625,0.42411524057388306,-0.016852866858243942","0.4204416573047638,0.4039316773414612,-0.0025296052917838097","0.4372206926345825,0.39961522817611694,-0.011424143798649311","0.43928802013397217,0.42280280590057373,-0.016994187608361244","0.4346383810043335,0.43008819222450256,-0.020374147221446037","0.41157791018486023,0.40857574343681335,-0.004892817698419094","0.4306181073188782,0.41235044598579407,-0.013252231292426586","0.4326503276824951,0.43753695487976074,-0.015846012160182","0.4275002181529999,0.4409199059009552,-0.016642825677990913","0.4058014452457428,0.42060545086860657,-0.00844763033092022","0.4252585172653198,0.4294566214084625,-0.01589970849454403","0.42677465081214905,0.4497792720794678,-0.014958967454731464","0.42124539613723755,0.4508780241012573,-0.01331415120512247","0.4029124975204468,0.4364383816719055,-0.012675060890614986","0.41995471715927124,0.4441983103752136,-0.016734570264816284","0.4205441176891327,0.45772412419319153,-0.01572146639227867","0.41500091552734375,0.45944222807884216,-0.014277782291173935"
0.0,"0.41309964656829834,0.5057898759841919,-8.602807355373443e-08","0.4287527799606323,0.48512038588523865,-0.005654636304825544","0.43876078724861145,0.45798397064208984,-0.010358582250773907","0.44029751420021057,0.4357571601867676,-0.014989208430051804","0.43110087513923645,0.4326709806919098,-0.018215985968708992","0.4170491695404053,0.414301335811615,-0.0037721882108598948","0.43290382623672485,0.41065070033073425,-0.013048115186393261","0.4349321722984314,0.4335010349750519,-0.019119206815958023","0.43027645349502563,0.4398226737976074,-0.0229239072650671","0.4076918661594391,0.41876816749572754,-0.005721507128328085","0.4260401725769043,0.4223174452781677,-0.014584247954189777","0.42898404598236084,0.4466426968574524,-0.01774907298386097","0.42436617612838745,0.4501628279685974,-0.018913719803094864","0.401480495929718,0.4310573637485504,-0.008871444500982761","0.42018595337867737,0.4404882788658142,-0.01679711788892746","0.422282338142395,0.46031805872917175,-0.0161370150744915","0.41666868329048157,0.4615384340286255,-0.014619071036577225","0.3983426094055176,0.44690436124801636,-0.01275624893605709","0.41496387124061584,0.4560587406158447,-0.017255306243896484","0.41623610258102417,0.46937450766563416,-0.016494808718562126","0.4106743633747101,0.470853716135025,-0.01518168393522501"
0.0,"0.4070739448070526,0.5041800737380981,-7.420656089607292e-08","0.4221192002296448,0.48377618193626404,-0.00489225285127759","0.4322586953639984,0.45491209626197815,-0.009107627905905247","0.43316394090652466,0.4322781562805176,-0.013251930475234985","0.422367125749588,0.43187734484672546,-0.016065532341599464","0.40904852747917175,0.41482701897621155,-0.0038349514361470938","0.42416125535964966,0.41076695919036865,-0.01244086492806673","0.4258483648300171,0.43344441056251526,-0.01805226504802704","0.42067956924438477,0.4386906921863556,-0.02174210362136364","0.3992617726325989,0.4192720353603363,-0.0059577845968306065","0.4166833460330963,0.4221406579017639,-0.014241165481507778","0.41978687047958374,0.4460269510746002,-0.017159590497612953","0.4151037037372589,0.4491047263145447,-0.01839870773255825","0.3928138017654419,0.4308554232120514,-0.009094367735087872","0.41098102927207947,0.43940311670303345,-0.016331473365426064","0.4135477840900421,0.4592353403568268,-0.01567520946264267","0.4078758955001831,0.46040263772010803,-0.01450725831091404","0.3898603320121765,0.44601190090179443,-0.012890894897282124","0.40640002489089966,0.45645999908447266,-0.017033115029335022","0.40765103697776794,0.4701225757598877,-0.01662934385240078","0.4018022418022156,0.47081705927848816,-0.015864375978708267"
0.0,"0.3976738750934601,0.49414098262786865,-5.7420201926561276e-08","0.41177281737327576,0.47372639179229736,-0.005548443179577589","0.421359658241272,0.4455644190311432,-0.009709305129945278","0.4225519597530365,0.4220764636993408,-0.013703001663088799","0.4125384986400604,0.4180557429790497,-0.016371896490454674","0.39994168281555176,0.40412116050720215,-0.0034695465583354235","0.41327011585235596,0.3982076644897461,-0.011499723419547081","0.41583457589149475,0.4215134084224701,-0.016236329451203346","0.4116095006465912,0.428775817155838,-0.019035575911402702","0.39011409878730774,0.4080196022987366,-0.004877593368291855","0.40568217635154724,0.40985387563705444,-0.012091516517102718","0.4094803035259247,0.4349926710128784,-0.014183548279106617","0.40499454736709595,0.4376097321510315,-0.014747606590390205","0.3831891119480133,0.42007237672805786,-0.007402398623526096","0.3994634747505188,0.4265711307525635,-0.014371179044246674","0.40259236097335815,0.4478461742401123,-0.01294417679309845","0.39709967374801636,0.4495387375354767,-0.011048183776438236","0.37901023030281067,0.4356803894042969,-0.010558944195508957","0.39367738366127014,0.44186389446258545,-0.014432192780077457","0.3958309590816498,0.4560681879520416,-0.012898402288556099","0.3906766474246979,0.458586722612381,-0.01105116493999958"
