gesture,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
0.0,"0.24452564120292664,0.48632723093032837,-1.6545688197311392e-07","0.2740626633167267,0.45452219247817993,-0.01229313388466835","0.29995256662368774,0.3915759325027466,-0.01710045523941517","0.29716670513153076,0.3348640501499176,-0.020962102338671684","0.27173542976379395,0.3300471007823944,-0.022222407162189484","0.2651064395904541,0.32920506596565247,-0.005605888087302446","0.2755611538887024,0.29836422204971313,-0.018154511228203773","0.2795218825340271,0.35082635283470154,-0.02272861637175083","0.2740916907787323,0.365066260099411,-0.02478739060461521","0.24392886459827423,0.33519038558006287,-0.005904491059482098","0.2558768689632416,0.3070031702518463,-0.020368022844195366","0.26350829005241394,0.3680659830570221,-0.021973995491862297","0.2570587396621704,0.37750133872032166,-0.019897140562534332","0.2247435599565506,0.3483209013938904,-0.00835542380809784","0.23805557191371918,0.32854384183883667,-0.02560347132384777","0.24726970493793488,0.3833937644958496,-0.020718099549412727","0.240011066198349,0.39319488406181335,-0.013380900956690311","0.20489898324012756,0.3669279217720032,-0.011382414028048515","0.22175905108451843,0.34677988290786743,-0.020974041894078255","0.23068773746490479,0.38260969519615173,-0.014828761108219624","0.22403083741664886,0.39472508430480957,-0.00792883150279522"
0.0,"0.24691030383110046,0.4826953411102295,-1.575506729523113e-07","0.27558672428131104,0.44931232929229736,-0.01264516543596983","0.30047500133514404,0.3878169357776642,-0.018160590901970863","0.2978692650794983,0.33527040481567383,-0.022720780223608017","0.2738528847694397,0.3292994797229767,-0.024600470438599586","0.26346355676651,0.32429495453834534,-0.006474532186985016","0.2757417857646942,0.2961333394050598,-0.01941446028649807","0.2800889015197754,0.34777024388313293,-0.024125797674059868","0.2742924094200134,0.3600267767906189,-0.026325497776269913","0.2428251951932907,0.33144617080688477,-0.006679820828139782","0.2578110694885254,0.306588351726532,-0.02157854475080967","0.2655988335609436,0.3661237061023712,-0.023358076810836792","0.25860580801963806,0.37343838810920715,-0.021476900205016136","0.22431254386901855,0.3459414839744568,-0.009029317647218704","0.24024364352226257,0.32754698395729065,-0.02641971781849861","0.24982835352420807,0.3817151188850403,-0.021353457123041153","0.24232782423496246,0.3912348449230194,-0.014019504189491272","0.20539996027946472,0.3660855293273926,-0.012044014409184456","0.22495527565479279,0.3480214476585388,-0.021925587207078934","0.2342197597026825,0.3840080499649048,-0.015945201739668846","0.22726164758205414,0.39636003971099854,-0.00910194218158722"
0.0,"0.25642287731170654,0.47901278734207153,-1.4186019825501717e-07","0.2825431227684021,0.44251731038093567,-0.012142389081418514","0.3044089376926422,0.38125506043434143,-0.018573209643363953","0.30109351873397827,0.3317272365093231,-0.0241782795637846","0.2779729962348938,0.33078625798225403,-0.027157284319400787","0.25870946049690247,0.3172173500061035,-0.008886685594916344","0.2749963700771332,0.29305535554885864,-0.021942896768450737","0.28135058283805847,0.34416064620018005,-0.02641870826482773","0.2751995921134949,0.3573320806026459,-0.028480449691414833","0.23853251338005066,0.3267950713634491,-0.009814223274588585","0.2604912519454956,0.30786624550819397,-0.024606473743915558","0.2694917917251587,0.36551377177238464,-0.025999123230576515","0.2616319954395294,0.37421512603759766,-0.024078624323010445","0.22181743383407593,0.34393310546875,-0.012644531205296516","0.24537308514118195,0.3305930495262146,-0.0295057725161314","0.25472140312194824,0.3830420672893524,-0.024608520790934563","0.2462342381477356,0.393205851316452,-0.01767999678850174","0.20668147504329681,0.3669007420539856,-0.016180463135242462","0.23154012858867645,0.34924978017807007,-0.025738965719938278","0.24030041694641113,0.3838343620300293,-0.020125359296798706","0.23272821307182312,0.39753976464271545,-0.013723216019570827"
0.0,"0.2560581862926483,0.48167672753334045,-1.8312664451514138e-07","0.28172895312309265,0.4443342685699463,-0.009551536291837692","0.3019513487815857,0.3832736313343048,-0.015579926781356335","0.30331504344940186,0.3330501317977905,-0.02153712697327137","0.2838453948497772,0.32934868335723877,-0.024972135201096535","0.2558671534061432,0.31617623567581177,-0.003939204383641481","0.2761763334274292,0.2957238256931305,-0.017949463799595833","0.28205299377441406,0.3446156978607178,-0.024899126961827278","0.274488240480423,0.3562568128108978,-0.028918849304318428","0.23738807439804077,0.32572516798973083,-0.006537390407174826","0.26280879974365234,0.30835196375846863,-0.02140623889863491","0.27089372277259827,0.363084614276886,-0.023923637345433235","0.26228225231170654,0.3709664046764374,-0.022869344800710678","0.22255277633666992,0.3441659212112427,-0.01126649510115385","0.24924670159816742,0.33295947313308716,-0.02724260464310646","0.2583853006362915,0.38170257210731506,-0.02301151305437088","0.24970869719982147,0.39025530219078064,-0.016839904710650444","0.21057352423667908,0.36827680468559265,-0.016794703900814056","0.2366061806678772,0.3535875678062439,-0.025415418669581413","0.2448335736989975,0.38579875230789185,-0.020462986081838608","0.2374361753463745,0.39770054817199707,-0.014710838906466961"
0.0,"0.25850367546081543,0.48067691922187805,-1.6166070793133258e-07","0.28400716185569763,0.43896904587745667,-0.007990998215973377","0.3023320436477661,0.38060078024864197,-0.014127466827630997","0.30448010563850403,0.3334961235523224,-0.020382197573781013","0.2862655818462372,0.3329342007637024,-0.02398235723376274","0.25078871846199036,0.3172776699066162,-0.004622349049896002","0.2758350968360901,0.2960358262062073,-0.018373968079686165","0.28239575028419495,0.34470850229263306,-0.025248387828469276","0.2739488184452057,0.3555443286895752,-0.029486674815416336","0.23373672366142273,0.32764551043510437,-0.008042769506573677","0.264992892742157,0.308904767036438,-0.0228807982057333","0.2729552388191223,0.3621752858161926,-0.025331217795610428","0.2640174627304077,0.369684636592865,-0.02463853918015957","0.22130391001701355,0.34633827209472656,-0.013224130496382713","0.2530754506587982,0.3328845500946045,-0.028324540704488754","0.26138603687286377,0.380141943693161,-0.023947061970829964","0.25227874517440796,0.3883909285068512,-0.018181325867772102","0.21297308802604675,0.3698500990867615,-0.019156519323587418","0.2418731153011322,0.35335615277290344,-0.026906879618763924","0.2487442046403885,0.38486701250076294,-0.021943440660834312","0.24067293107509613,0.3976108133792877,-0.016629274934530258"
0.0,"0.25922891497612,0.48276230692863464,-1.7880445568607684e-07","0.287823885679245,0.4376541078090668,-0.006717210169881582","0.3042418360710144,0.3820454478263855,-0.012791182845830917","0.30798089504241943,0.3351045250892639,-0.019538937136530876","0.2925167977809906,0.3331596553325653,-0.02370484173297882","0.24811165034770966,0.31978142261505127,-0.0015012811636552215","0.27907595038414,0.2979971170425415,-0.01628008484840393","0.2863677740097046,0.34556064009666443,-0.024318361654877663","0.2773677706718445,0.35879048705101013,-0.029147129505872726","0.23455001413822174,0.32762861251831055,-0.005643182899802923","0.2729264199733734,0.30612465739250183,-0.021237893030047417","0.28066951036453247,0.36009907722473145,-0.023741967976093292","0.2712775766849518,0.36972561478614807,-0.022679638117551804","0.22644160687923431,0.3440040349960327,-0.011792261153459549","0.2653964161872864,0.3294823467731476,-0.02767355367541313","0.2717485725879669,0.3786802291870117,-0.02357213944196701","0.2617877721786499,0.38916757702827454,-0.017485328018665314","0.22283688187599182,0.36524248123168945,-0.018681621178984642","0.2556700110435486,0.3509896993637085,-0.026958448812365532","0.26060882210731506,0.3829840421676636,-0.02270856499671936","0.2518734335899353,0.39528942108154297,-0.017678290605545044"
0.0,"0.2609809935092926,0.4810338020324707,-1.603121688731335e-07","0.2899370789527893,0.43570107221603394,-0.006366272456943989","0.3056468069553375,0.38247883319854736,-0.012552397325634956","0.31049883365631104,0.33692601323127747,-0.019397642463445663","0.2952738106250763,0.33404341340065,-0.023512324318289757","0.24556998908519745,0.32113900780677795,-0.0022885415237396955","0.2802688181400299,0.2992234528064728,-0.017889128997921944","0.28791382908821106,0.344637006521225,-0.026160292327404022","0.2786264419555664,0.35805565118789673,-0.030900465324521065","0.23326796293258667,0.328289657831192,-0.006556677166372538","0.27592983841896057,0.30582958459854126,-0.02272963710129261","0.2835635840892792,0.3589628338813782,-0.024631746113300323","0.274049311876297,0.3691176474094391,-0.023077405989170074","0.22725655138492584,0.34320634603500366,-0.012908401899039745","0.2703515589237213,0.3291328549385071,-0.02913179062306881","0.2757643163204193,0.37774547934532166,-0.02481028437614441","0.2653385102748871,0.38893038034439087,-0.01854577288031578","0.2260105162858963,0.3633463680744171,-0.020024221390485764","0.26135364174842834,0.35096076130867004,-0.02860207110643387","0.26509034633636475,0.3821284770965576,-0.024937625974416733","0.255892276763916,0.3939308524131775,-0.0203789584338665"
0.0,"0.2599649131298065,0.4800621569156647,-1.372744691252592e-07","0.289638876914978,0.43072208762168884,-0.007033494766801596","0.30520474910736084,0.3788958489894867,-0.01432880014181137","0.3111986815929413,0.3355964720249176,-0.022098716348409653","0.2966633439064026,0.33308008313179016,-0.026957057416439056","0.24184338748455048,0.3225577175617218,-0.0036914038937538862","0.27974894642829895,0.2989996373653412,-0.019437603652477264","0.2876102030277252,0.34399282932281494,-0.02819092944264412","0.2780141830444336,0.35703548789024353,-0.033606212586164474","0.2309759110212326,0.3293844163417816,-0.007958991453051567","0.2770501673221588,0.3039904832839966,-0.024615434929728508","0.2846756875514984,0.35606929659843445,-0.02731103077530861","0.2748970687389374,0.3657917082309723,-0.026661040261387825","0.22722908854484558,0.34433865547180176,-0.0141611248254776","0.273274302482605,0.3253024220466614,-0.029843997210264206","0.2785111367702484,0.3731071650981903,-0.025395601987838745","0.26780492067337036,0.3845663070678711,-0.019558550789952278","0.22898782789707184,0.36397024989128113,-0.021280528977513313","0.265651136636734,0.3489166498184204,-0.029375221580266953","0.2689206600189209,0.3796217739582062,-0.02579469047486782","0.25935134291648865,0.3909616470336914,-0.021670177578926086"
0.0,"0.2572387754917145,0.4793906807899475,-1.1246006437204414e-07","0.2876768112182617,0.4295795261859894,-0.008970048278570175","0.3022191822528839,0.3777584433555603,-0.016856160014867783","0.3083418607711792,0.3342442512512207,-0.02452152781188488","0.2952924966812134,0.3331965208053589,-0.02915671281516552","0.23623935878276825,0.32404381036758423,-0.007211736869066954","0.2759084105491638,0.29837581515312195,-0.02303503081202507","0.28454288840293884,0.3430977761745453,-0.03161770477890968","0.2759094536304474,0.35945025086402893,-0.036943335086107254","0.2271094024181366,0.3301040828227997,-0.010396454483270645","0.2750944197177887,0.30191996693611145,-0.02756509557366371","0.2824792265892029,0.35188403725624084,-0.030537409707903862","0.27302223443984985,0.3653610348701477,-0.03004401922225952","0.2258307784795761,0.3445653021335602,-0.01545698195695877","0.27424636483192444,0.32370272278785706,-0.031029311940073967","0.27873241901397705,0.36971136927604675,-0.02738981507718563","0.26809701323509216,0.38280272483825684,-0.02223949506878853","0.23039601743221283,0.36415114998817444,-0.02159472554922104","0.2698093056678772,0.35134539008140564,-0.030077697709202766","0.2718349099159241,0.3813452124595642,-0.027830684557557106","0.2616395950317383,0.3923654854297638,-0.02476317435503006"
0.0,"0.25804951786994934,0.47919780015945435,-9.665515676715586e-08","0.2860416769981384,0.4290449321269989,-0.009068177081644535","0.299268513917923,0.37800052762031555,-0.017094895243644714","0.306038498878479,0.3346293270587921,-0.02495156228542328","0.29409998655319214,0.3304719030857086,-0.029778188094496727","0.2317790687084198,0.3273685872554779,-0.00648796372115612","0.272256463766098,0.2985106110572815,-0.021474625915288925","0.2814459800720215,0.3412761986255646,-0.030236992985010147","0.27310654520988464,0.3584950864315033,-0.035826992243528366","0.2238854020833969,0.33332014083862305,-0.00935558881610632","0.27327412366867065,0.30407994985580444,-0.024964870885014534","0.2803685963153839,0.3507881462574005,-0.027983538806438446","0.2705664336681366,0.36501097679138184,-0.028074750676751137","0.224260613322258,0.34718504548072815,-0.014146173372864723","0.2732207477092743,0.3233194947242737,-0.02814246155321598","0.2778055965900421,0.36631372570991516,-0.02488246187567711","0.26747944951057434,0.3803964853286743,-0.020506177097558975","0.2306765466928482,0.3656964600086212,-0.02009916678071022","0.27065420150756836,0.349918395280838,-0.02761898562312126","0.27252766489982605,0.37914907932281494,-0.025511115789413452","0.26252466440200806,0.3918682634830475,-0.02281774953007698"
0.0,"0.2596069872379303,0.47659754753112793,-6.94660755584664e-08","0.2868823707103729,0.42545247077941895,-0.009440272115170956","0.2974396049976349,0.3755877912044525,-0.01769288070499897","0.30352917313575745,0.3341277539730072,-0.02580675482749939","0.2941533029079437,0.32968735694885254,-0.03097856044769287","0.2274302840232849,0.3281300961971283,-0.0063730571419000626","0.2679084539413452,0.29744264483451843,-0.020482847467064857","0.27664899826049805,0.3367530107498169,-0.029264893382787704","0.268231064081192,0.35458797216415405,-0.03512893244624138","0.2207900881767273,0.3347927927970886,-0.008987815119326115","0.2703488767147064,0.3020220696926117,-0.023180169984698296","0.2769315838813782,0.3438788056373596,-0.026207618415355682","0.266599178314209,0.3580954670906067,-0.026959724724292755","0.22292128205299377,0.3489392101764679,-0.01355714537203312","0.2718019187450409,0.3204944431781769,-0.02613229677081108","0.2765243351459503,0.35940662026405334,-0.023296406492590904","0.26628199219703674,0.3741578459739685,-0.01992136426270008","0.2313108593225479,0.3674061596393585,-0.01941666007041931","0.2713814079761505,0.34863850474357605,-0.02630896121263504","0.27314046025276184,0.37635552883148193,-0.024787738919258118","0.26297175884246826,0.390187531709671,-0.022969795390963554"
0.0,"0.2534331977367401,0.4775990843772888,-7.364741350102122e-08","0.28225961327552795,0.4252680242061615,-0.008972881361842155","0.2936513423919678,0.3738081157207489,-0.017477799206972122","0.30068275332450867,0.33138608932495117,-0.025685062631964684","0.2913808822631836,0.33045631647109985,-0.03128434717655182","0.22141072154045105,0.33097514510154724,-0.008663167245686054","0.2629489004611969,0.2954721450805664,-0.021844083443284035","0.2720172703266144,0.33309414982795715,-0.029884327203035355","0.26462554931640625,0.3524627387523651,-0.03546971455216408","0.21669909358024597,0.33815470337867737,-0.011348809115588665","0.2668759524822235,0.3009645342826843,-0.02389710396528244","0.2735850214958191,0.3414730131626129,-0.026270102709531784","0.2637510597705841,0.3553178608417511,-0.027204830199480057","0.22150427103042603,0.35170742869377136,-0.015621370635926723","0.2705681324005127,0.3196200430393219,-0.026435280218720436","0.2751277983188629,0.35703733563423157,-0.023741954937577248","0.2649809718132019,0.37210461497306824,-0.02132755145430565","0.23284384608268738,0.3673945963382721,-0.021109595894813538","0.27255821228027344,0.3496675491333008,-0.027058517560362816","0.2737129330635071,0.3782965838909149,-0.02602510154247284","0.26325976848602295,0.3919695317745209,-0.025117384269833565"
0.0,"0.24904751777648926,0.4758567214012146,-4.0865291595082454e-08","0.2757960259914398,0.41778630018234253,-0.004987635184079409","0.28493887186050415,0.36805763840675354,-0.011886633932590485","0.2931402921676636,0.33061933517456055,-0.019034484401345253","0.28956499695777893,0.32078349590301514,-0.02383856475353241","0.21506357192993164,0.3318825662136078,-0.008342740125954151","0.2561098635196686,0.29028648138046265,-0.019270185381174088","0.26559025049209595,0.3218059837818146,-0.025147967040538788","0.2592686712741852,0.3428010046482086,-0.02929290011525154","0.2142532467842102,0.3394298851490021,-0.012301561422646046","0.2640422582626343,0.2960033416748047,-0.02240489423274994","0.27085018157958984,0.33124274015426636,-0.02358747273683548","0.2612544000148773,0.34720444679260254,-0.024320676922798157","0.2225435972213745,0.3521297574043274,-0.017192047089338303","0.2728705406188965,0.3187457323074341,-0.025486350059509277","0.277442991733551,0.35440191626548767,-0.022458147257566452","0.26700639724731445,0.3702036738395691,-0.020628763362765312","0.23649969696998596,0.3664814531803131,-0.02293204888701439","0.2773343622684479,0.3488982617855072,-0.02674095891416073","0.27899089455604553,0.3775198757648468,-0.02494942396879196","0.26909685134887695,0.39083656668663025,-0.024180669337511063"
